Item_id,Main_Category,Sub_Categories,Item_Code,Product_Title,Product_Description,UPC,Brand,Department,Type,Tag,List Price,Price,Inventory,Min Order Qty,Available,Large Image,Additional Images,Item Properties
201624,Gloves,Gloves,N69PC-001-0026,COTTON GLOVES FOR EPOXY (PAIR),"Both side useable Gloves,Made by grey 100% Cotton fabric, Lengh of gloves is 14 inch,Cloth used consist of 10x6 yarn,Cloth weighs of 550Gsm,Cloth consist of acid wash,cloth cutting is by Pattern (AUTO),Thread used for weaving gloves consist of 65% cotton 35% polyster ",2.02E+11,,,,,25,25,100,50,YES,/20190501314/assets/items/largeimages/COTTON_GLOVES_FOR_EPOXY_PAIR.jpg,,"Lead_Time - 7, length - 9 inch, Material_Type - cotton, Sys_Num_Images - 1, Sys_Product_Type - 5% GST, type - both side usable, Unit_of_Measure - PR, UNSPSC - 46181504"
201626,Gloves,"Gloves,Home Featured,Featured",N69PC-001-0007,POLYTHENE GLOVES,"<div>
<h4 style=""text-align: justify;""><b>Transparent,</b></h4>
<h4 style=""text-align: justify;""><b>Universal size</b></h4>
<h4 style=""text-align: justify;""><b>Abidextrous to fit either hand</b></h4>
<h4 style=""text-align: justify;""><b>Water Resistant</b></h4>
<h4 style=""text-align: justify;""><b> Full Fingred</b></h4>
<h4 style=""text-align: justify;""><b> Disposable</b></h4>
<h4 style=""text-align: justify;""><b> For </b><b>Hygenic Purposes.</b></h4>
</div>",2.02E+11,,,,,1.15,1.15,39599,50,YES,/20190501314/assets/items/largeimages/POLYTHENE_GLOVES_1.jpg,,"Lead_Time - 7, Sys_Discount_Group - Not Discounted, Sys_Num_Images - 2, Unit_of_Measure - EA, UNSPSC - 46181504"
201627,Hand Sleeves,Hand Sleeves,N69EG-019-0014,GELCOAT HAND SLEEVE,"Soft texture
Standard size
Skin friendly fabric",2.02E+11,,,,,15,15,100000,50,YES,/20190501314/assets/items/largeimages/GELCOAT_HAND_SLEEVE.jpg,,"colur - Transparent, Lead_Time - 7, Material - LDPE, Micron - 50, size - 12 inch, Sys_Num_Images - 1, Sys_Product_Type - 18% GST, Unit_of_Measure - PR, UNSPSC - 46181516"
201628,Ear Muffs,Ear Muffs,N69PC-001-0005MUFF,3M EAR MUFF 1426 ,"Central pivot point connecting headband to cups for ease of adjustment,No direct air leaks into the ear cup for higher attenuation,One size fits all",2.02E+11,,,,,198,198,100,0,YES,/20190501314/assets/items/largeimages/3M_EAR_MUFF_1426.jpg,,"colur - grey white, Lead_Time - 7, material - 100% Cotton, size - 12inch, Sys_Num_Images - 1, Sys_Product_Type - 18% GST, Unit_of_Measure - EA, UNSPSC - 46181901, weight - 50 grms"
201632,Respirator & Accessories,Respirator & Accessories,N69PC-001-0104,3M? Filter Retainer 501,"Designed to hold 3M Particulate Filter 5N11  (sold separately)
Component works with 3M Respirator 5000 Series, 3M Cartridges 6000 Series and 3M Filter Adapter 603
Color: Translucent white
Measures 4? high x 8.5? long x 4.5? wide",2.02E+11,3M?,,,,135,135,10000000,20,YES,/20190501314/assets/items/largeimages/3M_Filter_Retainer_5011.jpg,,"Colour - White, Exhalation_Valve - Yes, Item_Code - 8822, Lead_Time - 7, Product_Type - Nose Mask, protection_against - dust and mist., Style - cup shape, Sys_Num_Images - 2, Sys_Product_Type - 12% GST, Unit_of_Measure - EA, UNSPSC - 23131501"
201635,Apron,Apron,N69PC-001-0045,COTTON APRON (FULL),COTTON APRON (FULL),2.02E+11,KALIKA,,,,320,320,100,0,YES,/20190501314/assets/items/largeimages/COTTON_APRON_FULL.jpg,,"Colour - Grey, Lead_Time - 7, Size - Standard, Sys_Num_Images - 2, Unit_of_Measure - EA, UNSPSC - 46181501"
201636,Apron,Apron,N69PC-001-0052,JEANS APRON,JEANS APRON,2.02E+11,Kalika,,,,800,800,9900000,0,YES,/20190501314/assets/items/largeimages/JEANS_APRON.jpg,,"Colour - Grey, Lead_Time - 7, Product_Type - Work Apperals, Size - 42, Sys_Num_Images - 2, Sys_Product_Type - 5% GST, Unit_of_Measure - EA, UNSPSC - 46181501"
201637,Apron,Apron,N69PC-001-0009,LEATHER APRON  24X36,LEATHER APRON  24X36,2.02E+11,Kalika,,,,175,175,10000000,0,YES,/20190501314/assets/items/largeimages/LEATHER_APRON_24X36.jpg,,"Lead_Time - 7, Size - 25""x36"", Sys_Num_Images - 2, Sys_Product_Type - 18% GST, Unit_of_Measure - EA, UNSPSC - 46181501"
201639,Welding Helmet,Welding Helmet,N36EG-019-0057,WELDING(CO2) HELMET,"Unicare welding helmet with Imported lens  
Light weight body in PP
Lens lift up arrangement to cover face,neck and head from UV and IR rays during welding, chipping or cleaning
Outer glass protect the welding lens during welding
Ratchet head band is suitable for every size of head with crown adjustment
Adjustment for welding position forward or backward
Easy to fix or replace the welding lens.
Replaceable lens as per the requirement of the welder
Shade 5 or shade 11.
Lens size 4 ¼? x 31/4?(108 x80 mm)",2.02E+11,,,,,550,550,100,1,YES,/20190501314/assets/items/largeimages/WELDINGCO2_HELMET.jpg,,"Lead_Time - 7, Size - Adjustable, Style - Face Shield, Sys_Num_Images - 1, Sys_Product_Type - 18% GST, Unit_of_Measure - EA, UNSPSC - 46181704"
201640,Bouffant Cap,Bouffant Cap,N31EG-020-0443,NON WOVEN FABRIC (Bouffant) Cap,"Disposable, Unisex design and universal size fits all,Economical yet effective headwear preventing release of bacteria,Comfortable double string elastic cover full circumference of cap",2.02E+11,Kalika,,,,2.5,2.5,10000000,100,YES,/20190501314/assets/items/largeimages/NON_WOVEN_FABRIC_Bouffant_Cap1.jpg,,"Colour - Blue, Disposable - Yes, Fabric - Non Woven, Lead_Time - 7, Sys_Num_Images - 2, Sys_Product_Type - 5% GST, Unit_of_Measure - EA, UNSPSC - 46181706"
201642,Barrication Tape,Barrication Tape,N35EG-012-0470,BARRICATION TAPE 200 MTR LENGTH X 3 Inch,"<div>
<p>Non-toxic,Non-reflective,High durability</p>
</div>",2.02E+11,Kalika,,,,195,195,100,10,YES,/20190501314/assets/items/largeimages/BARRICATION_TAPE_225_MTR_LENGTH_3_Inch.jpg,,"Colour - White and Red, Lead_Time - 6, Material - Plastic, Pattern - Printed, Size - 3 inch, Sys_Num_Images - 1, Sys_Product_Type - 18% GST, Unit_of_Measure - EA, UNSPSC - 27112806, Sys_Discount_Group - Not Discounted"
201643,Floor Marking Tape,"Floor Marking Tape,Home Featured,Featured",N71-FLOORTAPE,FLOOR MARKING TAPE 2 Inch,"<div><p>Non-toxic,Non-reflective,High durability</p></div>",2.02E+11,Kalika,,,,140,140,999988,6,YES,/20190501314/assets/items/largeimages/FLOOR_MARKING_TAPE_2_inch1.jpg,,"Adhesive_Side - Single Sided, Adhesive_Type - Pressure Sensitive, Colour - All(yellow black/ white red/ white green/ white black), Feature - Heat Resistant, Waterproof, Lead_Time - 6, Size - 2Inch, Sys_Num_Images - 3, Sys_Product_Type - 18% GST, Unit_of_Measure - EA, UNSPSC - 27112806, Sys_Discount_Group - Not Discounted"
