,Item_id,Main Category,Subcategory,Prod_description,Item Code,Product Title,Price
0,201624,Gloves,Gloves,',N69PC-001-0026,COTTON GLOVES FOR EPOXY (PAIR),25
1,201626,Gloves,"Gloves,Home Featured,Featured",,N69PC-001-0007,POLYTHENE GLOVES,1.15
2,201627,Hand Sleeves,Hand Sleeves,,N69EG-019-0014,GELCOAT HAND SLEEVE,15
3,201628,Ear Muffs,Ear Muffs,,N69PC-001-0005MUFF,3M EAR MUFF 1426†,198
4,201632,Respirator & Accessories,Respirator & Accessories,,N69PC-001-0104,3M? Filter Retainer 501,135
5,201635,Apron,Apron,,N69PC-001-0045,COTTON APRON (FULL),320
6,201636,Apron,Apron,,N69PC-001-0052,JEANS APRON,800
7,201637,Apron,Apron,,N69PC-001-0009,LEATHER APRON  24X36,175
8,201639,Welding Helmet,Welding Helmet,,N36EG-019-0057,WELDING(CO2) HELMET,550
9,201640,Bouffant Cap,Bouffant Cap,,N31EG-020-0443,NON WOVEN FABRIC (Bouffant) Cap,2.5
10,201642,Barrication Tape,Barrication Tape,,N35EG-012-0470,BARRICATION TAPE 200 MTR LENGTH X 3 Inch,195
11,201643,Floor Marking Tape,"Floor Marking Tape,Home Featured,Featured",,N71-FLOORTAPE,FLOOR MARKING TAPE 2 Inch,140
12,201644,Floor Marking Tape,Floor Marking Tape,,N53-MASKINGTAPE,MARKING TAPE (ANY COLOUR) 3 inch  FOR MARKING OF TRIP HAZARD AREA,155
13,201645,Barrier Cream,Barrier Cream,,N51EM-052-0133,KERODEX 71 BARRIER CREAM,672
14,201646,Rubber Mat,Rubber Mat,,N36EG-020-0186,RUBBER MAT 6MM THK,85
15,201647,Rubber Mat,"Rubber Mat,Facility Maintenance",,N71-ACRYLICSH5MM,ACRYLIC SHEET 5MM THK (IN SQUARE FEET),180
16,201648,Lock,Lock,,N35EG-012-0556,LOCK 75MM,250
17,201649,Lock,Lock,,N35EG-012-0348,LOCK 50MM,200
18,201650,Cotton Waste,Cotton Waste,,N43HR-0016,COTTON WASTE for cleaning in MOQ-50kg balley,35
19,201651,Hosiery Cloth,Hosiery Cloth,,N70HR-0180,HOSIERY CLOTH,150
20,201652,Saw Dust,Saw Dust,,N79-SAWDUST,SAW DUST,25
