Main Category,Subcategory IDs
Gloves,"Gloves, Gloves,Home Featured,Featured"
Hand Sleeves,Hand Sleeves
Ear Muffs,"Ear Muffs, Ear Muffs,Home,System,menu1,Shop,Safety,PPE"
Respirator & Accessories,"Respirator & Accessories, Respirator & Accessories,Home,System,menu1,Shop,Safety,PPE"
Apron,"Apron, Apron,Home,System,menu1,Shop,Safety,PPE"
Welding Helmet,Welding Helmet
Bouffant Cap,Bouffant Cap
Barrication Tape,Barrication Tape
Floor Marking Tape,"Floor Marking Tape,Home Featured,Featured, Floor Marking Tape"
Barrier Cream,Barrier Cream
Rubber Mat,"Rubber Mat, Rubber Mat,Facility Maintenance, Rubber Mat,Home,System,menu1,Shop,Safety,Antislip Products"
Lock,Lock
Cotton Waste,Cotton Waste
Hosiery Cloth,Hosiery Cloth
Saw Dust,Saw Dust
Janitorial,"Janitorial,Featured, Janitorial, Janitorial,Home,System,menu1,Shop"
Packaging,"Packaging, Packaging,Home,System,menu1,Shop, Janitorial,Home,System,menu1,Shop,Packaging"
Latch,Latch
Self Drilling Screw,Self Drilling Screw
Allen Screw,Allen Screw
Dowel Pin,"Dowel Pin, Dowel Pin,Featured"
Grub Screw,Grub Screw
Chemical  Fasteners,Chemical  Fasteners
Foil,Foil
Hinges,"Hinges, Hinges,Home,System,menu1,Shop,Facility Maintenance,Fasteners & Hardware "
Flexible Hoses (Tube),"Flexible Hoses (Tube), Flexible Hoses (Tube),Home,System,menu1,Shop,Facility Maintenance,Fittings"
Hoses  Clips,Hoses  Clips
Wheel,"Wheel, Wheel,Coated Disc"
Wheel Ball,Wheel Ball
Gas Flow Meter,Gas Flow Meter
Oil Paint,Oil Paint
Spray Gun,Spray Gun
Paint Brush,Paint Brush
Tag Rag,Tag Rag
Spray Painting Gun,Spray Painting Gun
Paper Paint Strainer,Paper Paint Strainer
Heater,Heater
Tube Light,"Tube Light,Featured, Tube Light"
Tube Light Choke,Tube Light Choke
Batteries,"Batteries, Batteries,Home Featured,Featured,Category Featured, Batteries,Home,System,menu1,Shop,Facility Maintenance,Electrical & Electronic Components "
Thyristor/ Diode,Thyristor/ Diode
Gas Pipe,Gas Pipe
Oil,Oil
Grease,Grease
Fuse,Fuse
Equipments,"Equipments, Equipments,Home,System,menu1,Shop,Chemicals & Lubricants,Chemicals"
Battery Acid,Battery Acid
Distilled Water,Distilled Water
Gearbox Oil,Gearbox Oil
Frl Unit Oil,Frl Unit Oil
Wire Brush,Wire Brush
Abrasive Paper,Abrasive Paper
Polish Paper,Polish Paper
Coated Disc,"Coated Disc, Coated Disc,Home,System,menu1,Shop,Abrasives"
Masking Tape,"Masking Tape, Masking Tape,Home,System,menu1,Shop,Adhesives, Sealants & Tape,Glue Gun,Tape"
Transparent Tape,Transparent Tape
Teflon Tape,Teflon Tape
M Seal,M Seal
Glue Gun,Glue Gun
Circlip Set,"Circlip Set, Circlip Set,Home Featured"
Circlip,Circlip
Circlip Pliers,Circlip Pliers
Nose Pliers,Nose Pliers
Crimping Tool,Crimping Tool
Wire Stripper & Cutter,Wire Stripper & Cutter
Crimpin Die,Crimpin Die
Insulation  Stripper,Insulation  Stripper
Cable Tie Gun Blade Kit,Cable Tie Gun Blade Kit
Sleeve Cutter,Sleeve Cutter
Lugs,Lugs
Jib Crane Pendent Cable,Jib Crane Pendent Cable
Mallet,Mallet
Scraper,Scraper
Chisels,Chisels
File,File
Spanner,"Spanner, Spanner,Home,System,menu1,Shop,Hand & Power Tools"
Ratchet,Ratchet
Allen Key,Allen Key
Tester,Tester
Continuity Tester,Continuity Tester
