action,item id,item name,item code,item information
edit,201624,COTTON GLOVES FOR EPOXY (PAIR),N69PC-001-0026,"Both side useable Gloves,Made by grey 100% Cotton fabric, Lengh of gloves is 14 inch,Cloth used consist of 10x6 yarn,Cloth weighs of 550Gsm,Cloth consist of acid wash,cloth cutting is by Pattern (AUTO),Thread used for weaving gloves consist of 65% cotton 35% polyster "
edit,201626,POLYTHENE GLOVES,N69PC-001-0007,"<div>
<h4 style=""text-align: justify;""><b>Transparent,</b></h4>
<h4 style=""text-align: justify;""><b>Universal size</b></h4>
<h4 style=""text-align: justify;""><b>Abidextrous to fit either hand</b></h4>
<h4 style=""text-align: justify;""><b>Water Resistant</b></h4>
<h4 style=""text-align: justify;""><b> Full Fingred</b></h4>
<h4 style=""text-align: justify;""><b> Disposable</b></h4>
<h4 style=""text-align: justify;""><b> For </b><b>Hygenic Purposes.</b></h4>
</div>"
edit,201627,GELCOAT HAND SLEEVE,N69EG-019-0014,"Soft texture
Standard size
Skin friendly fabric"
edit,201628,3M EAR MUFF 1426 ,N69PC-001-0005MUFF,"Central pivot point connecting headband to cups for ease of adjustment,No direct air leaks into the ear cup for higher attenuation,One size fits all"
edit,201632,3M™ Filter Retainer 501,N69PC-001-0104,"Designed to hold 3M Particulate Filter 5N11  (sold separately)
Component works with 3M Respirator 5000 Series, 3M Cartridges 6000 Series and 3M Filter Adapter 603
Color: Translucent white
Measures 4” high x 8.5” long x 4.5” wide"
edit,201635,COTTON APRON (FULL),N69PC-001-0045,COTTON APRON (FULL)
edit,201636,JEANS APRON,N69PC-001-0052,JEANS APRON
edit,201637,LEATHER APRON  24X36,N69PC-001-0009,LEATHER APRON  24X36
edit,201639,WELDING(CO2) HELMET,N36EG-019-0057,"Unicare welding helmet with Imported lens  
Light weight body in PP
Lens lift up arrangement to cover face,neck and head from UV and IR rays during welding, chipping or cleaning
Outer glass protect the welding lens during welding
Ratchet head band is suitable for every size of head with crown adjustment
Adjustment for welding position forward or backward
Easy to fix or replace the welding lens.
Replaceable lens as per the requirement of the welder
Shade 5 or shade 11.
Lens size 4 ¼” x 31/4”(108 x80 mm)"
edit,201640,NON WOVEN FABRIC (Bouffant) Cap,N31EG-020-0443,"Disposable, Unisex design and universal size fits all,Economical yet effective headwear preventing release of bacteria,Comfortable double string elastic cover full circumference of cap"
edit,201642,BARRICATION TAPE 200 MTR LENGTH X 3 Inch,N35EG-012-0470,"<div>
<p>Non-toxic,Non-reflective,High durability</p>
</div>"
edit,201643,FLOOR MARKING TAPE 2 Inch,N71-FLOORTAPE,"<div><p>Non-toxic,Non-reflective,High durability</p></div>"
edit,201644,MARKING TAPE (ANY COLOUR) 3 inch  FOR MARKING OF TRIP HAZARD AREA,N53-MASKINGTAPE,"<div><p>Non-toxic,Non-reflective,High durability</p></div>"
edit,201645,KERODEX 71 BARRIER CREAM,N51EM-052-0133,"This is a tough multipurpose cream that builds a protective sheath round hands that work with certain acids, alkalis, resins, paints, adhesives, industrial mineral oils etc."
edit,201646,RUBBER MAT 6MM THK,N36EG-020-0186,"<div><ul>
<li>Long lasting</li>
<li>Excellent strength</li>
<li>Quality approved</li>
<li>Suitable for Material Handling Purposes.&nbsp;</li>
<li>Not Suitable for Oli &amp; chemical Resistant uses.&nbsp;</li>
</ul></div>"
edit,201647,ACRYLIC SHEET 5MM THK (IN SQUARE FEET),N71-ACRYLICSH5MM,"<div><ul class=""a-unordered-list a-vertical a-spacing-none"">
<li><b><span class=""a-list-item"">Suitable for DIY Projects.</span></b></li>
<li><b><span class=""a-list-item"">Easy to cut, just scratch with knife or acrylic cutter and bend over the edge of a table to break.</span></b></li>
<li><b><span class=""a-list-item"">Easy to join, glue it with quick bond easily available at any hardware store.</span></b></li>
<li><span class=""a-list-item""><b>Easy to drill holes</b>.</span></li>
<li><b><span class=""a-list-item"">Size Of Sheet 8' x 4'&nbsp;</span></b></li>
<li><b><span class=""a-list-item"">Thickness 5 mm.</span></b></li>
</ul></div>"
edit,201648,LOCK 75MM,N35EG-012-0556,"<div><p><b>6 BRASS LEVERS,</b></p>
<p><b>Model- ROUND BRASS - 75 mm L.S,</b></p>
<p><b> Type- PADLOCK,</b></p>
<p><b>KEYS= THREE MILLED KEYS,</b></p>
<p><b> Material-BRASS, </b></p>
<p><b>Locking- DOUBLE LOCKING</b></p></div>"
edit,201649,LOCK 50MM,N35EG-012-0348,
edit,201650,COTTON WASTE for cleaning in MOQ-50kg balley,N43HR-0016,"<div>
<p>Made of Cotton cloths,used chrlorinated washed andused for wiping out hands and machinery</p>
</div>"
edit,201651,HOSIERY CLOTH,N70HR-0180,"<div><p><b>Made of Cotton cloths, u</b><b>sed chrlorinated washed</b></p>
<p><b>Used for wiping out hands and machinery</b></p></div>"
edit,201652,SAW DUST,N79-SAWDUST,<div><p><b>Best quality range of Natural Sawdust in various sizes.</b></p></div>
edit,201653,"ALUMINIUM FOIL, MAKE- FOIL PLUS / PAL, THK- 18 MICRON",N35EG-012-0052,"<div>
<p>Good Thermal Coductivity</p>
<p>Durable</p>
<p>Easy to cut.</p>
</div>"
edit,201654,PACKING STRIP M.S. - STEEL STRAP 19 MM,N50-200-1000-STRIP,PACKING STRIP M.S. - STEEL STRAP 19 MM
edit,201655,LATCH WITH SPRING 250KG,N35EG-012-0511,LATCH WITH SPRING 250KG
edit,201656,LATCH WITH SPRING 500KG,N35EG-012-0512,LATCH WITH SPRING 500KG
edit,201657,LATCH WITH SPRING 1000KG,N35EG-012-0513,LATCH WITH SPRING 1000KG
edit,201659,SELF DRILLING SCREW 1 INCH,N31EG-012-0890,"<div><p>Accurate dimension,Sturdiness,Durable finish,Carbon Steel,Case Hardened,with assembeled galv, steel sealing washer</p></div>"
edit,201660,SELF DRILLING SCREW 1 1/2 INCH,N31EG-012-0961,"<div><p>Accurate dimension,Sturdiness,Durable finish,Carbon Steel,Case Hardened,with assembeled galv, steel sealing washer</p></div>"
